Ref,Commune_court,Commune,APA_domicile_Annee_2016,APA_domicile_Annee_2011,APA_domicile_variation_annuelle,APA_domicile_Sexe_hommes,APA_domicile_Sexe_femmes,APA_domicile_GIR_1-2,APA_domicile_GIR_3-4,APA_domicile_Age_60-79,APA_domicile_Age_80-84,APA_domicile_Age_85,APA_etablissement_Annee_2016,APA_etablissement_Annee_2011,APA_etablissement_variation_annuelle,APA_etablissement_Sexe_hommes,APA_etablissement_Sexe_femmes,APA_etablissement_GIR_1-2,APA_etablissement_GIR_3-4,APA_etablissement_Age_60-79,APA_etablissement_Age_80-84,APA_etablissement_Age_85,Demographie_2013_Age_60-79,Demographie_2008_Age_60-79,Demographie_pourcentage_Age_60-79,Demographie_variation_annuelle_Age_60-79,Demographie_2013_Age_80-84,Demographie_2008_Age_80-84,Demographie_pourcentage_Age_80-84,Demographie_variation_annuelle_Age_80-84,Demographie_2013_Age_85,Demographie_2008_Age_85,Demographie_pourcentage_Age_85,Demographie_variation_annuelle_Age_85,Population_totale,PCH_2016,EHPAD,EHPAD_places,EHPAD_places_pour_100_personnes_Age_80,Minimum_vieillesse_RG_2016,Logement_ordinaire_Age_80,Logement_etablissement_Age_80,Logement_autre_Age_80
200068567,Les Vals du Dauphiné,Communauté de communes Les Vals du Dauphiné,809,757,1.3%,234,575,158,651,229,148,432,366,369,-0.2%,103,263,227,139,65,59,242,9867,8569,16.3%,2.9%,1423,1339,2.3%,1.2%,1402,1011,2.3%,6.8%,60555,416,6,469,16.6,170,2476,436,22
200018166,Le Grésivaudan,Communauté de communes Le Grésivaudan,1438,1045,6.6%,437,1001,367,1071,325,332,780,557,463,3.8%,158,399,346,211,138,79,340,17290,14995,17.3%,2.9%,2318,1956,2.3%,3.5%,2168,1652,2.2%,5.6%,99768,492,8,639,14.2,158,4015,485,5
243800778,Pays Roussillonnais,Communauté de communes du Pays Roussillonnais,954,693,6.6%,247,707,118,836,258,219,477,202,198,0.4%,56,146,153,49,23,32,147,9016,8277,17.5%,1.7%,1470,1389,2.9%,1.1%,1356,925,2.6%,7.9%,51458,299,2,261,9.2,266,2543,266,17
200070431,Sud Grésivaudan,Communauté de communes du Sud Grésivaudan,742,720,0.6%,224,518,111,631,178,155,409,444,430,0.6%,161,283,281,163,154,67,223,8773,7845,20.0%,2.3%,1352,1223,3.1%,2.0%,1298,992,3.0%,5.5%,43853,261,5,525,19.8,180,2293,344,24
243800745,L’Oisans,Communauté de communes de l'Oisans,120,105,2.7%,33,87,18,102,29,26,65,89,85,0.9%,18,71,56,33,18,18,53,1941,1745,18.0%,2.2%,268,239,2.5%,2.3%,239,208,2.2%,2.8%,10777,19,1,101,19.9,31,427,80,0
200040657,La Matheysine,Communauté de communes de la Matheysine,310,297,0.9%,92,218,60,250,65,61,184,166,163,0.4%,43,123,127,39,32,20,114,3992,3585,20.7%,2.2%,666,687,3.5%,-0.6%,657,464,3.4%,7.2%,19271,100,3,193,14.6,60,1159,162,1
200068542,Les Balcons du Dauphiné,Communauté de communes Les Balcons du Dauphiné,1140,717,9.7%,344,796,257,883,314,278,548,372,300,4.4%,110,262,253,119,94,63,215,11546,9359,15.8%,4.3%,1410,1332,1.9%,1.1%,1389,970,1.9%,7.4%,72984,271,4,485,17.3,144,2535,346,4
243800935,Lyon Saint Exupéry en Dauphiné,Communauté de communes Lyon Saint Exupéry en Dauphiné,399,230,11.6%,114,285,89,310,132,110,157,82,73,2.4%,16,66,58,24,16,9,57,4045,3378,15.8%,3.7%,533,400,2.1%,5.9%,394,285,1.5%,6.7%,25567,120,2,143,15.4,109,811,115,1
243801073,Bièvre Est,Communauté de communes de Bièvre Est,265,206,5.2%,75,190,48,217,88,66,111,76,76,0.0%,11,65,41,35,7,9,60,3726,3052,17.3%,4.1%,435,386,2.0%,2.4%,357,273,1.7%,5.5%,21563,117,1,92,11.6,46,721,71,0
200059392,Bièvre Isère,Communauté de communes Bièvre Isère,918,704,5.5%,288,630,164,754,240,198,480,474,461,0.6%,123,351,341,133,86,83,305,9798,8468,18.3%,3.0%,1372,1372,2.6%,0.0%,1482,1049,2.8%,7.2%,53469,218,5,574,20.1,129,2365,480,9
